period,respondent,respondent-name,type,type-name,value,value-units
2022-01-01T07,CISO,California Independent System Operator,D,Demand,24093,megawatthours
2022-01-01T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24448,megawatthours
2022-01-01T07,CISO,California Independent System Operator,NG,Net generation,13935,megawatthours
2022-01-01T07,CISO,California Independent System Operator,TI,Total interchange,-8794,megawatthours
2022-01-01T08,CISO,California Independent System Operator,D,Demand,23264,megawatthours
2022-01-01T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23482,megawatthours
2022-01-01T08,CISO,California Independent System Operator,NG,Net generation,13622,megawatthours
2022-01-01T08,CISO,California Independent System Operator,TI,Total interchange,-8623,megawatthours
2022-01-01T09,CISO,California Independent System Operator,D,Demand,22321,megawatthours
2022-01-01T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22631,megawatthours
2022-01-01T09,CISO,California Independent System Operator,NG,Net generation,13064,megawatthours
2022-01-01T09,CISO,California Independent System Operator,TI,Total interchange,-8095,megawatthours
2022-01-01T10,CISO,California Independent System Operator,D,Demand,21504,megawatthours
2022-01-01T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21766,megawatthours
2022-01-01T10,CISO,California Independent System Operator,NG,Net generation,12499,megawatthours
2022-01-01T10,CISO,California Independent System Operator,TI,Total interchange,-8003,megawatthours
2022-01-01T11,CISO,California Independent System Operator,D,Demand,21050,megawatthours
2022-01-01T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21105,megawatthours
2022-01-01T11,CISO,California Independent System Operator,NG,Net generation,11790,megawatthours
2022-01-01T11,CISO,California Independent System Operator,TI,Total interchange,-8039,megawatthours
2022-01-01T12,CISO,California Independent System Operator,D,Demand,20874,megawatthours
2022-01-01T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20740,megawatthours
2022-01-01T12,CISO,California Independent System Operator,NG,Net generation,11572,megawatthours
2022-01-01T12,CISO,California Independent System Operator,TI,Total interchange,-8363,megawatthours
2022-01-01T13,CISO,California Independent System Operator,D,Demand,20895,megawatthours
2022-01-01T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20710,megawatthours
2022-01-01T13,CISO,California Independent System Operator,NG,Net generation,11777,megawatthours
2022-01-01T13,CISO,California Independent System Operator,TI,Total interchange,-8406,megawatthours
2022-01-01T14,CISO,California Independent System Operator,D,Demand,21276,megawatthours
2022-01-01T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21052,megawatthours
2022-01-01T14,CISO,California Independent System Operator,NG,Net generation,11993,megawatthours
2022-01-01T14,CISO,California Independent System Operator,TI,Total interchange,-8664,megawatthours
2022-01-01T15,CISO,California Independent System Operator,D,Demand,21947,megawatthours
2022-01-01T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21613,megawatthours
2022-01-01T15,CISO,California Independent System Operator,NG,Net generation,12514,megawatthours
2022-01-01T15,CISO,California Independent System Operator,TI,Total interchange,-8840,megawatthours
2022-01-01T16,CISO,California Independent System Operator,D,Demand,22047,megawatthours
2022-01-01T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21754,megawatthours
2022-01-01T16,CISO,California Independent System Operator,NG,Net generation,14531,megawatthours
2022-01-01T16,CISO,California Independent System Operator,TI,Total interchange,-8459,megawatthours
2022-01-01T17,CISO,California Independent System Operator,D,Demand,21765,megawatthours
2022-01-01T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21334,megawatthours
2022-01-01T17,CISO,California Independent System Operator,NG,Net generation,15773,megawatthours
2022-01-01T17,CISO,California Independent System Operator,TI,Total interchange,-6009,megawatthours
2022-01-01T18,CISO,California Independent System Operator,D,Demand,20995,megawatthours
2022-01-01T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20474,megawatthours
2022-01-01T18,CISO,California Independent System Operator,NG,Net generation,16048,megawatthours
2022-01-01T18,CISO,California Independent System Operator,TI,Total interchange,-4958,megawatthours
2022-01-01T19,CISO,California Independent System Operator,D,Demand,20021,megawatthours
2022-01-01T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19620,megawatthours
2022-01-01T19,CISO,California Independent System Operator,NG,Net generation,15754,megawatthours
2022-01-01T19,CISO,California Independent System Operator,TI,Total interchange,-3898,megawatthours
2022-01-01T20,CISO,California Independent System Operator,D,Demand,18920,megawatthours
2022-01-01T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18980,megawatthours
2022-01-01T20,CISO,California Independent System Operator,NG,Net generation,15633,megawatthours
2022-01-01T20,CISO,California Independent System Operator,TI,Total interchange,-3143,megawatthours
2022-01-01T21,CISO,California Independent System Operator,D,Demand,18711,megawatthours
2022-01-01T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18685,megawatthours
2022-01-01T21,CISO,California Independent System Operator,NG,Net generation,15588,megawatthours
2022-01-01T21,CISO,California Independent System Operator,TI,Total interchange,-2961,megawatthours
2022-01-01T22,CISO,California Independent System Operator,D,Demand,18749,megawatthours
2022-01-01T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18782,megawatthours
2022-01-01T22,CISO,California Independent System Operator,NG,Net generation,15422,megawatthours
2022-01-01T22,CISO,California Independent System Operator,TI,Total interchange,-3270,megawatthours
2022-01-01T23,CISO,California Independent System Operator,D,Demand,19804,megawatthours
2022-01-01T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19734,megawatthours
2022-01-01T23,CISO,California Independent System Operator,NG,Net generation,16073,megawatthours
2022-01-01T23,CISO,California Independent System Operator,TI,Total interchange,-3795,megawatthours
2022-01-02T00,CISO,California Independent System Operator,D,Demand,20704,megawatthours
2022-01-02T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21239,megawatthours
2022-01-02T00,CISO,California Independent System Operator,NG,Net generation,15128,megawatthours
2022-01-02T00,CISO,California Independent System Operator,TI,Total interchange,-4350,megawatthours
2022-01-02T01,CISO,California Independent System Operator,D,Demand,22789,megawatthours
2022-01-02T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23709,megawatthours
2022-01-02T01,CISO,California Independent System Operator,NG,Net generation,17814,megawatthours
2022-01-02T01,CISO,California Independent System Operator,TI,Total interchange,-6503,megawatthours
2022-01-02T02,CISO,California Independent System Operator,D,Demand,25635,megawatthours
2022-01-02T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26684,megawatthours
2022-01-02T02,CISO,California Independent System Operator,NG,Net generation,17993,megawatthours
2022-01-02T02,CISO,California Independent System Operator,TI,Total interchange,-6501,megawatthours
2022-01-02T03,CISO,California Independent System Operator,D,Demand,26315,megawatthours
2022-01-02T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27080,megawatthours
2022-01-02T03,CISO,California Independent System Operator,NG,Net generation,17522,megawatthours
2022-01-02T03,CISO,California Independent System Operator,TI,Total interchange,-7472,megawatthours
2022-01-02T04,CISO,California Independent System Operator,D,Demand,26177,megawatthours
2022-01-02T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26687,megawatthours
2022-01-02T04,CISO,California Independent System Operator,NG,Net generation,16720,megawatthours
2022-01-02T04,CISO,California Independent System Operator,TI,Total interchange,-8048,megawatthours
2022-01-02T05,CISO,California Independent System Operator,D,Demand,25863,megawatthours
2022-01-02T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26163,megawatthours
2022-01-02T05,CISO,California Independent System Operator,NG,Net generation,16359,megawatthours
2022-01-02T05,CISO,California Independent System Operator,TI,Total interchange,-8450,megawatthours
2022-01-02T06,CISO,California Independent System Operator,D,Demand,25363,megawatthours
2022-01-02T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25369,megawatthours
2022-01-02T06,CISO,California Independent System Operator,NG,Net generation,15668,megawatthours
2022-01-02T06,CISO,California Independent System Operator,TI,Total interchange,-8322,megawatthours
2022-01-02T07,CISO,California Independent System Operator,D,Demand,24274,megawatthours
2022-01-02T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24109,megawatthours
2022-01-02T07,CISO,California Independent System Operator,NG,Net generation,14459,megawatthours
2022-01-02T07,CISO,California Independent System Operator,TI,Total interchange,-7918,megawatthours
2022-01-02T08,CISO,California Independent System Operator,D,Demand,23038,megawatthours
2022-01-02T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22854,megawatthours
2022-01-02T08,CISO,California Independent System Operator,NG,Net generation,13655,megawatthours
2022-01-02T08,CISO,California Independent System Operator,TI,Total interchange,-7617,megawatthours
2022-01-02T09,CISO,California Independent System Operator,D,Demand,22158,megawatthours
2022-01-02T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22022,megawatthours
2022-01-02T09,CISO,California Independent System Operator,NG,Net generation,12552,megawatthours
2022-01-02T09,CISO,California Independent System Operator,TI,Total interchange,-7927,megawatthours
2022-01-02T10,CISO,California Independent System Operator,D,Demand,21551,megawatthours
2022-01-02T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21325,megawatthours
2022-01-02T10,CISO,California Independent System Operator,NG,Net generation,11954,megawatthours
2022-01-02T10,CISO,California Independent System Operator,TI,Total interchange,-8298,megawatthours
2022-01-02T11,CISO,California Independent System Operator,D,Demand,21297,megawatthours
2022-01-02T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20824,megawatthours
2022-01-02T11,CISO,California Independent System Operator,NG,Net generation,11881,megawatthours
2022-01-02T11,CISO,California Independent System Operator,TI,Total interchange,-8409,megawatthours
2022-01-02T12,CISO,California Independent System Operator,D,Demand,21207,megawatthours
2022-01-02T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20577,megawatthours
2022-01-02T12,CISO,California Independent System Operator,NG,Net generation,12200,megawatthours
2022-01-02T12,CISO,California Independent System Operator,TI,Total interchange,-8180,megawatthours
2022-01-02T13,CISO,California Independent System Operator,D,Demand,21375,megawatthours
2022-01-02T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20675,megawatthours
2022-01-02T13,CISO,California Independent System Operator,NG,Net generation,12481,megawatthours
2022-01-02T13,CISO,California Independent System Operator,TI,Total interchange,-8209,megawatthours
2022-01-02T14,CISO,California Independent System Operator,D,Demand,21909,megawatthours
2022-01-02T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21138,megawatthours
2022-01-02T14,CISO,California Independent System Operator,NG,Net generation,13280,megawatthours
2022-01-02T14,CISO,California Independent System Operator,TI,Total interchange,-8244,megawatthours
2022-01-02T15,CISO,California Independent System Operator,D,Demand,22744,megawatthours
2022-01-02T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21883,megawatthours
2022-01-02T15,CISO,California Independent System Operator,NG,Net generation,14021,megawatthours
2022-01-02T15,CISO,California Independent System Operator,TI,Total interchange,-8333,megawatthours
2022-01-02T16,CISO,California Independent System Operator,D,Demand,23151,megawatthours
2022-01-02T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21863,megawatthours
2022-01-02T16,CISO,California Independent System Operator,NG,Net generation,15201,megawatthours
2022-01-02T16,CISO,California Independent System Operator,TI,Total interchange,-7960,megawatthours
2022-01-02T17,CISO,California Independent System Operator,D,Demand,22634,megawatthours
2022-01-02T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21132,megawatthours
2022-01-02T17,CISO,California Independent System Operator,NG,Net generation,16626,megawatthours
2022-01-02T17,CISO,California Independent System Operator,TI,Total interchange,-6228,megawatthours
2022-01-02T18,CISO,California Independent System Operator,D,Demand,21766,megawatthours
2022-01-02T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19960,megawatthours
2022-01-02T18,CISO,California Independent System Operator,NG,Net generation,16140,megawatthours
2022-01-02T18,CISO,California Independent System Operator,TI,Total interchange,-5325,megawatthours
2022-01-02T19,CISO,California Independent System Operator,D,Demand,20484,megawatthours
2022-01-02T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18831,megawatthours
2022-01-02T19,CISO,California Independent System Operator,NG,Net generation,15486,megawatthours
2022-01-02T19,CISO,California Independent System Operator,TI,Total interchange,-4191,megawatthours
2022-01-02T20,CISO,California Independent System Operator,D,Demand,19581,megawatthours
2022-01-02T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18071,megawatthours
2022-01-02T20,CISO,California Independent System Operator,NG,Net generation,15246,megawatthours
2022-01-02T20,CISO,California Independent System Operator,TI,Total interchange,-3908,megawatthours
2022-01-02T21,CISO,California Independent System Operator,D,Demand,19278,megawatthours
2022-01-02T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,17921,megawatthours
2022-01-02T21,CISO,California Independent System Operator,NG,Net generation,15032,megawatthours
2022-01-02T21,CISO,California Independent System Operator,TI,Total interchange,-3863,megawatthours
2022-01-02T22,CISO,California Independent System Operator,D,Demand,19446,megawatthours
2022-01-02T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18066,megawatthours
2022-01-02T22,CISO,California Independent System Operator,NG,Net generation,15186,megawatthours
2022-01-02T22,CISO,California Independent System Operator,TI,Total interchange,-4018,megawatthours
2022-01-02T23,CISO,California Independent System Operator,D,Demand,20114,megawatthours
2022-01-02T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18915,megawatthours
2022-01-02T23,CISO,California Independent System Operator,NG,Net generation,15935,megawatthours
2022-01-02T23,CISO,California Independent System Operator,TI,Total interchange,-4212,megawatthours
2022-01-03T00,CISO,California Independent System Operator,D,Demand,21239,megawatthours
2022-01-03T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20481,megawatthours
2022-01-03T00,CISO,California Independent System Operator,NG,Net generation,14027,megawatthours
2022-01-03T00,CISO,California Independent System Operator,TI,Total interchange,-5392,megawatthours
2022-01-03T01,CISO,California Independent System Operator,D,Demand,23781,megawatthours
2022-01-03T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22976,megawatthours
2022-01-03T01,CISO,California Independent System Operator,NG,Net generation,16202,megawatthours
2022-01-03T01,CISO,California Independent System Operator,TI,Total interchange,-8122,megawatthours
2022-01-03T02,CISO,California Independent System Operator,D,Demand,26714,megawatthours
2022-01-03T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26176,megawatthours
2022-01-03T02,CISO,California Independent System Operator,NG,Net generation,17262,megawatthours
2022-01-03T02,CISO,California Independent System Operator,TI,Total interchange,-8527,megawatthours
2022-01-03T03,CISO,California Independent System Operator,D,Demand,27215,megawatthours
2022-01-03T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26656,megawatthours
2022-01-03T03,CISO,California Independent System Operator,NG,Net generation,17510,megawatthours
2022-01-03T03,CISO,California Independent System Operator,TI,Total interchange,-8957,megawatthours
2022-01-03T04,CISO,California Independent System Operator,D,Demand,26995,megawatthours
2022-01-03T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26316,megawatthours
2022-01-03T04,CISO,California Independent System Operator,NG,Net generation,16897,megawatthours
2022-01-03T04,CISO,California Independent System Operator,TI,Total interchange,-8512,megawatthours
2022-01-03T05,CISO,California Independent System Operator,D,Demand,26553,megawatthours
2022-01-03T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25678,megawatthours
2022-01-03T05,CISO,California Independent System Operator,NG,Net generation,15919,megawatthours
2022-01-03T05,CISO,California Independent System Operator,TI,Total interchange,-9068,megawatthours
2022-01-03T06,CISO,California Independent System Operator,D,Demand,25787,megawatthours
2022-01-03T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24863,megawatthours
2022-01-03T06,CISO,California Independent System Operator,NG,Net generation,15163,megawatthours
2022-01-03T06,CISO,California Independent System Operator,TI,Total interchange,-9208,megawatthours
2022-01-03T07,CISO,California Independent System Operator,D,Demand,24434,megawatthours
2022-01-03T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23554,megawatthours
2022-01-03T07,CISO,California Independent System Operator,NG,Net generation,14194,megawatthours
2022-01-03T07,CISO,California Independent System Operator,TI,Total interchange,-8588,megawatthours
2022-01-03T08,CISO,California Independent System Operator,D,Demand,22951,megawatthours
2022-01-03T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22267,megawatthours
2022-01-03T08,CISO,California Independent System Operator,NG,Net generation,12986,megawatthours
2022-01-03T08,CISO,California Independent System Operator,TI,Total interchange,-8240,megawatthours
2022-01-03T09,CISO,California Independent System Operator,D,Demand,22135,megawatthours
2022-01-03T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21748,megawatthours
2022-01-03T09,CISO,California Independent System Operator,NG,Net generation,12501,megawatthours
2022-01-03T09,CISO,California Independent System Operator,TI,Total interchange,-8369,megawatthours
2022-01-03T10,CISO,California Independent System Operator,D,Demand,21535,megawatthours
2022-01-03T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21118,megawatthours
2022-01-03T10,CISO,California Independent System Operator,NG,Net generation,12219,megawatthours
2022-01-03T10,CISO,California Independent System Operator,TI,Total interchange,-8090,megawatthours
2022-01-03T11,CISO,California Independent System Operator,D,Demand,21326,megawatthours
2022-01-03T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20776,megawatthours
2022-01-03T11,CISO,California Independent System Operator,NG,Net generation,12159,megawatthours
2022-01-03T11,CISO,California Independent System Operator,TI,Total interchange,-8111,megawatthours
2022-01-03T12,CISO,California Independent System Operator,D,Demand,21423,megawatthours
2022-01-03T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20778,megawatthours
2022-01-03T12,CISO,California Independent System Operator,NG,Net generation,12645,megawatthours
2022-01-03T12,CISO,California Independent System Operator,TI,Total interchange,-8123,megawatthours
2022-01-03T13,CISO,California Independent System Operator,D,Demand,21860,megawatthours
2022-01-03T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21370,megawatthours
2022-01-03T13,CISO,California Independent System Operator,NG,Net generation,13800,megawatthours
2022-01-03T13,CISO,California Independent System Operator,TI,Total interchange,-7997,megawatthours
2022-01-03T14,CISO,California Independent System Operator,D,Demand,23401,megawatthours
2022-01-03T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22878,megawatthours
2022-01-03T14,CISO,California Independent System Operator,NG,Net generation,15658,megawatthours
2022-01-03T14,CISO,California Independent System Operator,TI,Total interchange,-8285,megawatthours
2022-01-03T15,CISO,California Independent System Operator,D,Demand,25330,megawatthours
2022-01-03T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25141,megawatthours
2022-01-03T15,CISO,California Independent System Operator,NG,Net generation,16824,megawatthours
2022-01-03T15,CISO,California Independent System Operator,TI,Total interchange,-8309,megawatthours
2022-01-03T16,CISO,California Independent System Operator,D,Demand,26492,megawatthours
2022-01-03T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26482,megawatthours
2022-01-03T16,CISO,California Independent System Operator,NG,Net generation,18324,megawatthours
2022-01-03T16,CISO,California Independent System Operator,TI,Total interchange,-8830,megawatthours
2022-01-03T17,CISO,California Independent System Operator,D,Demand,26000,megawatthours
2022-01-03T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26205,megawatthours
2022-01-03T17,CISO,California Independent System Operator,NG,Net generation,18986,megawatthours
2022-01-03T17,CISO,California Independent System Operator,TI,Total interchange,-6805,megawatthours
2022-01-03T18,CISO,California Independent System Operator,D,Demand,24902,megawatthours
2022-01-03T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25263,megawatthours
2022-01-03T18,CISO,California Independent System Operator,NG,Net generation,18663,megawatthours
2022-01-03T18,CISO,California Independent System Operator,TI,Total interchange,-5661,megawatthours
2022-01-03T19,CISO,California Independent System Operator,D,Demand,24177,megawatthours
2022-01-03T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24307,megawatthours
2022-01-03T19,CISO,California Independent System Operator,NG,Net generation,17976,megawatthours
2022-01-03T19,CISO,California Independent System Operator,TI,Total interchange,-5555,megawatthours
2022-01-03T20,CISO,California Independent System Operator,D,Demand,23360,megawatthours
2022-01-03T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23699,megawatthours
2022-01-03T20,CISO,California Independent System Operator,NG,Net generation,18174,megawatthours
2022-01-03T20,CISO,California Independent System Operator,TI,Total interchange,-5157,megawatthours
2022-01-03T21,CISO,California Independent System Operator,D,Demand,23486,megawatthours
2022-01-03T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23403,megawatthours
2022-01-03T21,CISO,California Independent System Operator,NG,Net generation,17905,megawatthours
2022-01-03T21,CISO,California Independent System Operator,TI,Total interchange,-5037,megawatthours
2022-01-03T22,CISO,California Independent System Operator,D,Demand,23545,megawatthours
2022-01-03T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23414,megawatthours
2022-01-03T22,CISO,California Independent System Operator,NG,Net generation,18360,megawatthours
2022-01-03T22,CISO,California Independent System Operator,TI,Total interchange,-5057,megawatthours
2022-01-03T23,CISO,California Independent System Operator,D,Demand,23931,megawatthours
2022-01-03T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24030,megawatthours
2022-01-03T23,CISO,California Independent System Operator,NG,Net generation,17416,megawatthours
2022-01-03T23,CISO,California Independent System Operator,TI,Total interchange,-5531,megawatthours
2022-01-04T00,CISO,California Independent System Operator,D,Demand,24737,megawatthours
2022-01-04T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24982,megawatthours
2022-01-04T00,CISO,California Independent System Operator,NG,Net generation,17229,megawatthours
2022-01-04T00,CISO,California Independent System Operator,TI,Total interchange,-6942,megawatthours
2022-01-04T01,CISO,California Independent System Operator,D,Demand,26529,megawatthours
2022-01-04T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26694,megawatthours
2022-01-04T01,CISO,California Independent System Operator,NG,Net generation,18804,megawatthours
2022-01-04T01,CISO,California Independent System Operator,TI,Total interchange,-7930,megawatthours
2022-01-04T02,CISO,California Independent System Operator,D,Demand,28958,megawatthours
2022-01-04T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,29225,megawatthours
2022-01-04T02,CISO,California Independent System Operator,NG,Net generation,19294,megawatthours
2022-01-04T02,CISO,California Independent System Operator,TI,Total interchange,-8825,megawatthours
2022-01-04T03,CISO,California Independent System Operator,D,Demand,29171,megawatthours
2022-01-04T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,29495,megawatthours
2022-01-04T03,CISO,California Independent System Operator,NG,Net generation,19155,megawatthours
2022-01-04T03,CISO,California Independent System Operator,TI,Total interchange,-9059,megawatthours
2022-01-04T04,CISO,California Independent System Operator,D,Demand,28714,megawatthours
2022-01-04T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28840,megawatthours
2022-01-04T04,CISO,California Independent System Operator,NG,Net generation,18321,megawatthours
2022-01-04T04,CISO,California Independent System Operator,TI,Total interchange,-9123,megawatthours
2022-01-04T05,CISO,California Independent System Operator,D,Demand,27996,megawatthours
2022-01-04T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27933,megawatthours
2022-01-04T05,CISO,California Independent System Operator,NG,Net generation,17509,megawatthours
2022-01-04T05,CISO,California Independent System Operator,TI,Total interchange,-9246,megawatthours
2022-01-04T06,CISO,California Independent System Operator,D,Demand,26916,megawatthours
2022-01-04T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26703,megawatthours
2022-01-04T06,CISO,California Independent System Operator,NG,Net generation,16216,megawatthours
2022-01-04T06,CISO,California Independent System Operator,TI,Total interchange,-8985,megawatthours
2022-01-04T07,CISO,California Independent System Operator,D,Demand,25233,megawatthours
2022-01-04T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24928,megawatthours
2022-01-04T07,CISO,California Independent System Operator,NG,Net generation,14208,megawatthours
2022-01-04T07,CISO,California Independent System Operator,TI,Total interchange,-8878,megawatthours
2022-01-04T08,CISO,California Independent System Operator,D,Demand,23614,megawatthours
2022-01-04T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23317,megawatthours
2022-01-04T08,CISO,California Independent System Operator,NG,Net generation,13532,megawatthours
2022-01-04T08,CISO,California Independent System Operator,TI,Total interchange,-8925,megawatthours
2022-01-04T09,CISO,California Independent System Operator,D,Demand,22523,megawatthours
2022-01-04T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22262,megawatthours
2022-01-04T09,CISO,California Independent System Operator,NG,Net generation,13234,megawatthours
2022-01-04T09,CISO,California Independent System Operator,TI,Total interchange,-8130,megawatthours
2022-01-04T10,CISO,California Independent System Operator,D,Demand,21837,megawatthours
2022-01-04T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21514,megawatthours
2022-01-04T10,CISO,California Independent System Operator,NG,Net generation,12914,megawatthours
2022-01-04T10,CISO,California Independent System Operator,TI,Total interchange,-7833,megawatthours
2022-01-04T11,CISO,California Independent System Operator,D,Demand,21801,megawatthours
2022-01-04T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21057,megawatthours
2022-01-04T11,CISO,California Independent System Operator,NG,Net generation,12749,megawatthours
2022-01-04T11,CISO,California Independent System Operator,TI,Total interchange,-8088,megawatthours
2022-01-04T12,CISO,California Independent System Operator,D,Demand,21644,megawatthours
2022-01-04T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20965,megawatthours
2022-01-04T12,CISO,California Independent System Operator,NG,Net generation,13465,megawatthours
2022-01-04T12,CISO,California Independent System Operator,TI,Total interchange,-7737,megawatthours
2022-01-04T13,CISO,California Independent System Operator,D,Demand,22007,megawatthours
2022-01-04T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21512,megawatthours
