period,respondent,respondent-name,type,type-name,value,value-units
2022-01-01T00,CISO,California Independent System Operator,D,Demand,22618,megawatthours
2022-01-01T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23570,megawatthours
2022-01-01T00,CISO,California Independent System Operator,NG,Net generation,16082,megawatthours
2022-01-01T00,CISO,California Independent System Operator,TI,Total interchange,-4801,megawatthours
2022-01-01T01,CISO,California Independent System Operator,D,Demand,24545,megawatthours
2022-01-01T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25478,megawatthours
2022-01-01T01,CISO,California Independent System Operator,NG,Net generation,17803,megawatthours
2022-01-01T01,CISO,California Independent System Operator,TI,Total interchange,-6980,megawatthours
2022-01-01T02,CISO,California Independent System Operator,D,Demand,27081,megawatthours
2022-01-01T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28050,megawatthours
2022-01-01T02,CISO,California Independent System Operator,NG,Net generation,18143,megawatthours
2022-01-01T02,CISO,California Independent System Operator,TI,Total interchange,-7839,megawatthours
2022-01-01T03,CISO,California Independent System Operator,D,Demand,27153,megawatthours
2022-01-01T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27944,megawatthours
2022-01-01T03,CISO,California Independent System Operator,NG,Net generation,17720,megawatthours
2022-01-01T03,CISO,California Independent System Operator,TI,Total interchange,-8176,megawatthours
2022-01-01T04,CISO,California Independent System Operator,D,Demand,26522,megawatthours
2022-01-01T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26905,megawatthours
2022-01-01T04,CISO,California Independent System Operator,NG,Net generation,17004,megawatthours
2022-01-01T04,CISO,California Independent System Operator,TI,Total interchange,-8142,megawatthours
2022-01-01T05,CISO,California Independent System Operator,D,Demand,25781,megawatthours
2022-01-01T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26127,megawatthours
2022-01-01T05,CISO,California Independent System Operator,NG,Net generation,16172,megawatthours
2022-01-01T05,CISO,California Independent System Operator,TI,Total interchange,-8499,megawatthours
2022-01-01T06,CISO,California Independent System Operator,D,Demand,25040,megawatthours
2022-01-01T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25451,megawatthours
2022-01-01T06,CISO,California Independent System Operator,NG,Net generation,15106,megawatthours
2022-01-01T06,CISO,California Independent System Operator,TI,Total interchange,-8289,megawatthours
