period,respondent,respondent-name,type,type-name,value,value-units
2023-01-01T17,CISO,California Independent System Operator,D,Demand,20607,megawatthours
2023-01-01T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19718,megawatthours
2023-01-01T17,CISO,California Independent System Operator,NG,Net generation,15780,megawatthours
2023-01-01T17,CISO,California Independent System Operator,TI,Total interchange,-3656,megawatthours
2023-01-01T18,CISO,California Independent System Operator,D,Demand,20033,megawatthours
2023-01-01T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18931,megawatthours
2023-01-01T18,CISO,California Independent System Operator,NG,Net generation,16707,megawatthours
2023-01-01T18,CISO,California Independent System Operator,TI,Total interchange,-2218,megawatthours
2023-01-01T19,CISO,California Independent System Operator,D,Demand,19461,megawatthours
2023-01-01T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18178,megawatthours
2023-01-01T19,CISO,California Independent System Operator,NG,Net generation,17597,megawatthours
2023-01-01T19,CISO,California Independent System Operator,TI,Total interchange,-1164,megawatthours
2023-01-01T20,CISO,California Independent System Operator,D,Demand,19279,megawatthours
2023-01-01T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,17698,megawatthours
2023-01-01T20,CISO,California Independent System Operator,NG,Net generation,17950,megawatthours
2023-01-01T20,CISO,California Independent System Operator,TI,Total interchange,-704,megawatthours
2023-01-01T21,CISO,California Independent System Operator,D,Demand,19297,megawatthours
2023-01-01T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,17664,megawatthours
2023-01-01T21,CISO,California Independent System Operator,NG,Net generation,17666,megawatthours
2023-01-01T21,CISO,California Independent System Operator,TI,Total interchange,-735,megawatthours
2023-01-01T22,CISO,California Independent System Operator,D,Demand,19275,megawatthours
2023-01-01T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,17920,megawatthours
2023-01-01T22,CISO,California Independent System Operator,NG,Net generation,18157,megawatthours
2023-01-01T22,CISO,California Independent System Operator,TI,Total interchange,-390,megawatthours
2023-01-01T23,CISO,California Independent System Operator,D,Demand,19596,megawatthours
2023-01-01T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18784,megawatthours
2023-01-01T23,CISO,California Independent System Operator,NG,Net generation,17643,megawatthours
2023-01-01T23,CISO,California Independent System Operator,TI,Total interchange,-1003,megawatthours
2023-01-02T00,CISO,California Independent System Operator,D,Demand,19644,megawatthours
2023-01-02T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20388,megawatthours
2023-01-02T00,CISO,California Independent System Operator,NG,Net generation,17549,megawatthours
2023-01-02T00,CISO,California Independent System Operator,TI,Total interchange,-2126,megawatthours
2023-01-02T01,CISO,California Independent System Operator,D,Demand,20649,megawatthours
2023-01-02T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22385,megawatthours
2023-01-02T01,CISO,California Independent System Operator,NG,Net generation,17298,megawatthours
2023-01-02T01,CISO,California Independent System Operator,TI,Total interchange,-4213,megawatthours
2023-01-02T02,CISO,California Independent System Operator,D,Demand,22399,megawatthours
2023-01-02T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24772,megawatthours
2023-01-02T02,CISO,California Independent System Operator,NG,Net generation,19181,megawatthours
2023-01-02T02,CISO,California Independent System Operator,TI,Total interchange,-4742,megawatthours
2023-01-02T03,CISO,California Independent System Operator,D,Demand,24778,megawatthours
2023-01-02T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24967,megawatthours
2023-01-02T03,CISO,California Independent System Operator,NG,Net generation,19397,megawatthours
2023-01-02T03,CISO,California Independent System Operator,TI,Total interchange,-4909,megawatthours
2023-01-02T04,CISO,California Independent System Operator,D,Demand,25166,megawatthours
2023-01-02T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24561,megawatthours
2023-01-02T04,CISO,California Independent System Operator,NG,Net generation,18852,megawatthours
2023-01-02T04,CISO,California Independent System Operator,TI,Total interchange,-5431,megawatthours
2023-01-02T05,CISO,California Independent System Operator,D,Demand,25110,megawatthours
2023-01-02T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24104,megawatthours
2023-01-02T05,CISO,California Independent System Operator,NG,Net generation,18031,megawatthours
2023-01-02T05,CISO,California Independent System Operator,TI,Total interchange,-5753,megawatthours
2023-01-02T06,CISO,California Independent System Operator,D,Demand,24640,megawatthours
2023-01-02T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23713,megawatthours
2023-01-02T06,CISO,California Independent System Operator,NG,Net generation,17220,megawatthours
2023-01-02T06,CISO,California Independent System Operator,TI,Total interchange,-6182,megawatthours
2023-01-02T07,CISO,California Independent System Operator,D,Demand,24259,megawatthours
2023-01-02T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22680,megawatthours
2023-01-02T07,CISO,California Independent System Operator,NG,Net generation,16556,megawatthours
2023-01-02T07,CISO,California Independent System Operator,TI,Total interchange,-5835,megawatthours
