period,day_ahead_forecast_MW,total_demand_MW,net_generation_MW,total_interchange_MW,gen_col_MW,gen_ng_MW,gen_nuc_MW,gen_oil_MW,gen_oth_MW,gen_sun_MW,gen_wat_MW,gen_wnd_MW,net_load_MW,renewable_ratio,price_USD_MWh,hour,day_of_week,month,day_of_year,is_weekend,week_of_year,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,netload_lag24h,demand_lag24h,netload_lag48h,demand_lag48h,netload_lag72h,demand_lag72h,netload_lag168h,demand_lag168h,solar_lag24h,solar_lag168h,wind_lag24h,wind_lag168h,yesterday_demand_mean,yesterday_demand_max,yesterday_demand_min,yesterday_demand_std,yesterday_netload_mean,yesterday_solar_mean,demand_trend_24h,netload_trend_24h,forecast_error_lag24h,price_lag24h
2023-01-09 13:00:00,19661.0,20974.0,15062.0,-5375.0,4.0,9520.0,2254.0,42.0,-727.0,-45.0,1716.0,2298.0,18721.0,0.10741870887765806,112.29748247547187,13,0,1,9,0,2,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,18972.0,19978.0,20101.0,20855.0,20213.0,21645.0,18777.0,20335.0,-50.0,4.0,1056.0,1554.0,22789.041666666668,25792.0,19978.0,1609.76799514356,19766.333333333332,1980.5416666666667,-877.0,-1129.0,-365.0,178.58038075973602
2023-01-09 14:00:00,21199.0,21132.0,16492.0,-4753.0,3.0,9890.0,2254.0,58.0,220.0,-45.0,1821.0,2290.0,18887.0,0.10623698656066628,120.7655584344716,14,0,1,9,0,2,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.0,1.0,18718.0,19891.0,20167.0,20963.0,20479.0,21769.0,19098.0,20527.0,-50.0,4.0,1223.0,1425.0,22744.375,25792.0,19891.0,1676.142746139151,19705.958333333332,1980.5833333333333,-1072.0,-1449.0,134.0,174.8540389995306
2023-01-09 15:00:00,23682.0,21885.0,18915.0,-4346.0,3.0,11403.0,2254.0,67.0,900.0,-26.0,1941.0,2373.0,19538.0,0.1072424034726982,136.8779627114623,15,0,1,9,0,2,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.0,1.0,19264.0,20303.0,20742.0,21615.0,21398.0,22902.0,20224.0,21468.0,-36.0,13.0,1075.0,1231.0,22689.708333333332,25792.0,19891.0,1734.9421110294436,19644.375,1980.5,-1312.0,-1478.0,625.0,186.1459635294353
2023-01-09 16:00:00,25438.0,23885.0,19926.0,-5385.0,4.0,11925.0,2253.0,72.0,1160.0,465.0,1978.0,2069.0,21351.0,0.10609168934477706,181.76436540692262,16,0,1,9,0,2,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.0,1.0,18738.0,20886.0,20081.0,22414.0,21871.0,24434.0,20390.0,22710.0,1140.0,1193.0,1008.0,1127.0,22626.041666666668,25792.0,19891.0,1773.1159132066866,19588.416666666668,1967.375,-1528.0,-1343.0,492.0,177.63925230586793
2023-01-09 17:00:00,25985.0,25814.0,20455.0,-5477.0,3.0,12182.0,2254.0,74.0,461.0,1238.0,2230.0,2013.0,22563.0,0.1259394127217789,221.78168179349643,17,0,1,9,0,2,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,17028.0,21408.0,17212.0,22735.0,19089.0,25719.0,17007.0,23098.0,3401.0,4979.0,979.0,1112.0,22570.75,25792.0,19891.0,1790.1785495113475,19580.75,1920.2083333333333,-1327.0,-184.0,-205.0,159.6816257688727
2023-01-09 18:00:00,25991.0,26183.0,20609.0,-5863.0,3.0,12083.0,2255.0,77.0,-173.0,1931.0,2487.0,1946.0,22306.0,0.1480731772524157,205.57386834354853,18,0,1,9,0,2,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.0,1.0,14805.0,21443.0,17080.0,23365.0,16568.0,25628.0,14569.0,22971.0,5900.0,7137.0,738.0,1265.0,22490.666666666668,25792.0,19891.0,1796.0835331273247,19485.958333333332,1934.25,-1922.0,-2275.0,-907.0,131.95831587249327
2023-01-09 19:00:00,25652.0,26593.0,20987.0,-5473.0,3.0,12030.0,2254.0,77.0,-477.0,2653.0,2558.0,1888.0,22052.0,0.1707592223517467,200.97987120455534,19,0,1,9,0,2,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.0,1.0,12907.0,20838.0,16072.0,22958.0,15356.0,24787.0,15209.0,23346.0,7147.0,6828.0,784.0,1309.0,22402.333333333332,25792.0,19891.0,1824.0150329917326,19354.083333333332,1971.2916666666667,-2120.0,-3165.0,-1029.0,107.26661270511617
2023-01-09 20:00:00,25355.0,26531.0,21455.0,-5392.0,3.0,12360.0,2254.0,78.0,-1228.0,3531.0,2502.0,1954.0,21046.0,0.20673928611812598,175.53064940669694,20,0,1,9,0,2,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,11756.0,20406.0,15759.0,22809.0,14454.0,23766.0,14958.0,23474.0,7684.0,6966.0,966.0,1550.0,22302.208333333332,25792.0,19891.0,1866.1874405873389,19187.291666666668,2022.7916666666667,-2403.0,-4003.0,-1109.0,90.96443241290983
2023-01-09 21:00:00,25299.0,26928.0,21189.0,-4700.0,4.0,11550.0,2254.0,78.0,-377.0,3311.0,2467.0,1902.0,21715.0,0.19359031491384432,191.1845779916612,21,0,1,9,0,2,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.0,1.0,11266.0,20128.0,14892.0,22013.0,13672.0,23248.0,16703.0,24281.0,7760.0,5876.0,1102.0,1702.0,22223.666666666668,25792.0,19891.0,1917.840353936827,19036.208333333332,2077.625,-1885.0,-3626.0,-865.0,83.00862977383403
2023-01-09 22:00:00,25332.0,25993.0,20688.0,-4800.0,3.0,11709.0,2252.0,78.0,-384.0,2816.0,2383.0,1832.0,21345.0,0.17881737390835994,179.1248786488679,22,0,1,9,0,2,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0.0,1.0,11741.0,20137.0,15186.0,21896.0,12766.0,22598.0,17553.0,24429.0,7191.0,4895.0,1205.0,1981.0,22150.375,25792.0,19891.0,1963.96293714479,18892.666666666668,2122.6666666666665,-1759.0,-3445.0,-727.0,91.9830755848153
