Scenario,Cost_MWh,Avg_Gas,Curtailment_MWh,Load_Shed_MWh,Export_MWh,Avg_Nuclear
Spring_Baseline,40.5296157872192,10896.952380952382,0.0,0.0,1665.0,2256.0
Spring_No_Nuclear,50.41822520940292,12257.261170906719,0.0,928.7343453510459,0.0,0.0
Spring_Tight_Gas,1225.614392515434,8700.66735034372,0.0,288526.5525420747,1665.0,2256.0
Nov_Baseline,114.81339660489357,13088.678964431398,0.0,21799.31707705764,0.0,2256.0
