Month,MAE,Avg_Temp_C
1,1940.4057971014493,11.244927536231884
2,1809.9970238095239,10.575545634920635
3,1699.5806451612902,11.799059139784946
4,1523.9972222222223,14.954953703703703
5,1449.141129032258,17.14041218637993
6,1391.6777777777777,18.96175925925926
7,1793.5510752688172,22.337455197132616
8,2113.266129032258,22.886066308243727
9,1850.4666666666667,21.014212962962965
10,1977.8978494623657,19.154525089605734
11,1890.0588235294117,15.613916786226685
12,1605.91512345679,13.159722222222221
