gamma,cost_mwh,shed,curt,co2,avg_gas
0.0,40.570768620278216,0.0,0.0,812886.8756357586,10906.429656167145
0.25,41.00503167064082,0.0,0.0,867296.732666888,11465.143182254382
0.5,41.42526905585667,0.0,0.0,920886.6306315786,11955.600997106405
0.75,41.81207536774761,0.0,0.0,975591.2764555542,12494.43951786355
1.0,42.18062506375898,0.0,0.0,1029510.0408519625,12991.775395840315
