Nuclear_MW,Cost_MWh,Avg_CCGT,Avg_Peak,Avg_Gas,Avg_Import,Shed_MWh,Solve_Time_s,Gap_Pct
0,47.35201037541061,9987.182161112782,1152.6619680690233,11139.844129181805,6678.185416666666,0.0,0.4197700023651123,0.0
500,46.081591190772066,9964.978056673683,862.3108733737361,10827.288930047418,6501.667398809524,0.0,0.4237492084503174,0.0
1000,44.83543164501964,9931.961259054635,607.9878495642123,10539.949108618846,6300.092791666666,0.0,0.3792431354522705,0.0
1500,43.60390437221227,9883.72412485363,361.9133143927347,10245.637439246366,6098.077922619048,0.0,0.5003504753112793,0.0
1800,42.88916773482772,9848.009839139346,250.74879415463957,10098.758633293985,5949.805864880952,0.0,0.5021202564239502,0.0
2256,41.83960330962853,9734.05030937744,144.0410760594014,9878.091385436843,5716.105731190476,0.0,0.5118000507354736,0.0
3000,40.17856736303056,9481.400698324585,52.840908426166,9534.241606750751,5312.53428984271,0.0,0.6192471981048584,0.0
4000,38.00490619276897,9123.530633864104,19.389944140451718,9142.920578004556,4700.016307380952,0.0,0.5971121788024902,0.0007333733689967947
