feature,importance
demand_lag24h,0.42581552829062136
day_ahead_demand_forecast_MW,0.4192015995926988
demand_lag48h,0.049778847773670004
price_lag24h,0.026591777234119703
hour_cos,0.010885575668245372
day_of_year,0.01040540926760096
forecast_error_yesterday,0.01035335789648348
demand_lag72h,0.0072633836594163444
hour_sin,0.007194578642304478
demand_lag168h,0.005199222067666712
demand_trend_24h,0.004560221287222615
week_of_year,0.0035507814594555533
hour,0.0034654300296902444
yesterday_range,0.0018572012550997312
yesterday_min,0.0016388893723217988
yesterday_std,0.0016077737705687443
yesterday_mean,0.0015414115657611752
lastweek_mean,0.0015211829917178034
demand_trend_week,0.0015093322447577724
yesterday_max,0.001483856617521836
dow_sin,0.001443966963110822
month,0.001000402055063585
day_of_week,0.0008210211843930191
month_sin,0.0005346156956938009
dow_cos,0.0003439373550621654
month_cos,0.00027476024077897524
is_weekend,0.00015593581895293935
