Target,Best_Model,Horizon,MAE,RMSE,R2,MAPE,90% Coverage,90% PI Width,Q_hat
Net Load,LightGBM,24h,1564.635327574261,2145.6793396181624,0.8433729794262331,887.0937218187604,89.59107806691449,5312.340381004526,1213.2447960557934
Price,RandomForest,24h,8.402827230435289,10.701155582489488,0.6140940898190312,24.745996581157183,95.68773234200744,39.102661107216576,4.636654024001516
