Scenario,Season,Nuclear,Cost_MWh,Avg_Gas_MW,Avg_Import_MW,Shed_MWh,Curt_MWh,Export_MWh,CO2_tonnes,BESS_Cycles
S1_Spring_Determ,Spring,Yes,40.580350046807084,10872.958333333334,1250.8349597903677,0.0,0.0,1665.0,811971.4519734344,1.1032863377609108
S2_Spring_NoNuc,Spring,No,46.53784377035476,11913.190476190477,2455.0892800668653,0.0,0.0,0.0,944317.05971537,0.9816000474383302
S3_Spring_SmallBESS,Spring,Yes,40.77906891704138,10893.881276299837,1301.5595238095239,0.0,0.0,4108.0,815969.1423115327,1.9176181977034448
S4_Nov_Determ,November,Yes,42.53322510585808,13046.92690300567,3041.0505726484143,0.0,0.0,162.0,1051941.2739405106,1.4982251897533205
S5_Nov_NoNuc,November,No,84.03788055338312,14083.405759195142,4234.277861407998,11349.203036053135,0.0,1216.7903055848255,1183472.5929083244,4.154089848197343
