Model,Zones,Path15_Limit_MW,Cost_MWh,Shed_MWh,Avg_Import_MW,Avg_Flow_MW,Binding_Hours,Solve_s,Status,Cost_Diff_MWh,Cost_Diff_Pct,Verdict
Copper-plate (single-bus),1,N/A,42.153,0.0,5893.7,N/A,N/A,0.536,optimal,0.0,0.0,Baseline
"2-Zone (NP15/SP15, Path 15)",2,4500/3500,43.7263,0.0,N/A,683.2,0,0.528,optimal,1.5733,3.732,CAUTION: 3.73% cost difference > 2% threshold
